bag_time_ns,header_stamp_sec,header_stamp_nanosec,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,fix_quality,num_satellites,speed,track
1770498400117571674,76000,0,GPS1_Frame,42.25355666666666,-71.82183316666666,190.9,267223.3700438917,4681784.975397423,19,T,1.05,,,,
1770498401115272466,76001,0,GPS1_Frame,42.253563166666666,-71.821821,189.8,267224.3976895812,4681785.663935253,19,T,1.05,,,,
1770498402114533008,76002,0,GPS1_Frame,42.25357316666667,-71.82181916666667,189.2,267224.5857400682,4681786.769391108,19,T,1.05,,,,
1770498403118901508,76003,0,GPS1_Frame,42.253581333333344,-71.8218195,188.7,267224.58829794155,4681787.677185256,19,T,1.05,,,,
1770498404117043967,76004,0,GPS1_Frame,42.25358966666666,-71.821821,188.4,267224.4952219082,4681788.606677173,19,T,1.05,,,,
1770498405115103926,76005,0,GPS1_Frame,42.25359,-71.821824,188.1,267224.24895559845,4681788.651895554,19,T,1.05,,,,
1770498406117798635,76006,0,GPS1_Frame,42.25358816666667,-71.821829,187.2,267223.82971950725,4681788.461980917,19,T,1.05,,,,
1770498407119447760,76007,0,GPS1_Frame,42.25358416666666,-71.82183783333333,187.5,267223.08626775886,4681788.041946114,19,T,1.05,,,,
1770498408115656761,76008,0,GPS1_Frame,42.25357999999999,-71.82184466666666,187.1,267222.5071979519,4681787.5979350265,19,T,1.05,,,,
1770498409114588845,76009,0,GPS1_Frame,42.25357066666667,-71.82185033333333,186.8,267222.0053594863,4681786.576991854,19,T,1.05,,,,
1770498410113414887,76010,0,GPS1_Frame,42.253564999999995,-71.8218585,186.6,267221.310771734,4681785.970056266,19,T,1.05,,,,
1770498411118033721,76011,0,GPS1_Frame,42.25355666666666,-71.82186333333334,186.1,267220.8813616473,4681785.057881458,19,T,1.05,,,,
1770498412114865221,76012,0,GPS1_Frame,42.25355166666667,-71.82187133333333,186.3,267220.202976967,4681784.524521501,19,T,1.05,,,,
1770498413120808555,76013,0,GPS1_Frame,42.25354683333333,-71.821881,185.6,267219.3877093291,4681784.014226596,19,T,1.05,,,,
1770498414112952639,76014,0,GPS1_Frame,42.25353966666667,-71.82188883333333,185.4,267218.7150995361,4681783.239809514,19,T,1.05,,,,
1770498415114691889,76015,0,GPS1_Frame,42.25353383333333,-71.821893,184.6,267218.3498888871,4681782.603429128,19,T,1.05,,,,
1770498416119160348,76016,0,GPS1_Frame,42.25352866666667,-71.82189633333334,184.5,267218.05588004424,4681782.038801403,19,T,1.05,,,,
1770498417116494223,76017,0,GPS1_Frame,42.253522833333335,-71.82190116666668,184.0,267217.63567074924,4681781.404243932,19,T,1.05,,,,
1770498418115004099,76018,0,GPS1_Frame,42.253518666666665,-71.82190916666667,183.5,267216.960352627,4681780.963423319,19,T,1.05,,,,
1770498419116216724,76019,0,GPS1_Frame,42.25351616666667,-71.82190949999999,183.2,267216.92365191807,4681780.686717604,19,T,1.05,,,,
1770498420117180850,76020,0,GPS1_Frame,42.253512666666666,-71.8219055,182.7,267217.24076114956,4681780.287116239,19,T,1.05,,,,
1770498421119148850,76021,0,GPS1_Frame,42.25350866666666,-71.82190816666666,182.5,267217.0060446874,4681779.850220337,19,T,1.05,,,,
1770498422117671809,76022,0,GPS1_Frame,42.25350266666666,-71.82191533333334,181.8,267216.39272682875,4681779.203535241,19,T,1.05,,,,
1770498423115348726,76023,0,GPS1_Frame,42.253497,-71.82192216666667,181.7,267215.8081350051,4681778.592954368,19,T,1.05,,,,
1770498424116308352,76024,0,GPS1_Frame,42.25348949999999,-71.82192966666666,181.1,267215.1617967527,4681777.780610524,19,T,1.05,,,,
1770498425120373686,76025,0,GPS1_Frame,42.25348016666667,-71.82194150000001,180.7,267214.15121986566,4681776.776529733,19,T,1.05,,,,
1770498426118964811,76026,0,GPS1_Frame,42.25347266666666,-71.82195283333334,180.3,267213.18863945146,4681775.974667803,19,T,1.05,,,,
1770498427114331728,76027,0,GPS1_Frame,42.25346583333333,-71.82196333333333,179.9,267212.2972608118,4681775.244558588,19,T,1.05,,,,
1770498428118924104,76028,0,GPS1_Frame,42.25345866666667,-71.82197966666666,179.5,267210.923417449,4681774.493384528,19,T,1.05,,,,
1770498429114140313,76029,0,GPS1_Frame,42.25345216666666,-71.82199383333334,179.1,267209.73077300197,4681773.810317394,19,T,1.05,,,,
1770498430117178438,76030,0,GPS1_Frame,42.25345166666666,-71.822009,178.1,267208.4777146301,4681773.796266077,19,T,1.05,,,,
1770498431114630605,76031,0,GPS1_Frame,42.25344766666667,-71.8220205,177.5,267207.5142660003,4681773.383524657,19,T,1.05,,,,
1770498432112712731,76032,0,GPS1_Frame,42.253444666666674,-71.82203183333333,177.0,267206.568247634,4681773.081374484,19,T,1.05,,,,
1770498433119258398,76033,0,GPS1_Frame,42.25343866666667,-71.82204683333333,176.4,267205.3086946043,4681772.456110221,19,T,1.05,,,,
1770498434117067648,76034,0,GPS1_Frame,42.25342933333333,-71.822056,176.0,267204.5181099863,4681771.444738822,19,T,1.05,,,,
1770498435118819732,76035,0,GPS1_Frame,42.2534195,-71.82206416666666,175.6,267203.80818270094,4681770.375109588,19,T,1.05,,,,
1770498436114633149,76036,0,GPS1_Frame,42.253414166666666,-71.82207100000001,174.8,267203.2248159838,4681769.801545316,19,T,1.05,,,,
1770498437117024316,76037,0,GPS1_Frame,42.25340683333334,-71.82208383333334,174.8,267202.13909988536,4681769.02229437,19,T,1.05,,,,
1770498438118821275,76038,0,GPS1_Frame,42.253396499999994,-71.82210233333333,174.4,267200.574852641,4681767.925398603,19,T,1.05,,,,
1770498439118691442,76039,0,GPS1_Frame,42.25338633333334,-71.82212283333334,174.9,267198.8462224186,4681766.8524800595,19,T,1.05,,,,
1770498440115972443,76040,0,GPS1_Frame,42.253379166666676,-71.8221395,174.9,267197.4448765593,4681766.102220035,19,T,1.05,,,,
1770498441116068527,76041,0,GPS1_Frame,42.25337533333333,-71.822151,174.2,267196.4820396486,4681765.707987871,19,T,1.05,,,,
1770498442113872152,76042,0,GPS1_Frame,42.25336566666667,-71.822164,174.2,267195.37398371776,4681764.67008433,19,T,1.05,,,,
1770498443112775403,76043,0,GPS1_Frame,42.253356000000004,-71.82217733333333,173.7,267194.2384281252,4681763.633092484,19,T,1.05,,,,
1770498444113297278,76044,0,GPS1_Frame,42.25334633333333,-71.82219233333333,173.7,267192.9653754813,4681762.600658488,19,T,1.05,,,,
1770498445113125445,76045,0,GPS1_Frame,42.253336499999996,-71.8222075,173.5,267191.67795929767,4681761.550172671,19,T,1.05,,,,
1770498446115549404,76046,0,GPS1_Frame,42.25332733333333,-71.82222483333334,173.7,267190.2142509243,4681760.579643372,19,T,1.05,,,,
1770498447114827154,76047,0,GPS1_Frame,42.25331883333333,-71.82224116666666,173.1,267188.83549420343,4681759.6804109495,19,T,1.05,,,,
1770498448114078280,76048,0,GPS1_Frame,42.253306499999994,-71.822256,172.9,267187.566373687,4681758.351397127,19,T,1.05,,,,
1770498449115109530,76049,0,GPS1_Frame,42.253296166666665,-71.82226183333334,172.5,267187.04709763965,4681757.21986512,19,T,1.05,,,,
1770498450117534573,76050,0,GPS1_Frame,42.25328666666666,-71.82227283333333,172.6,267186.1046487371,4681756.195001403,19,T,1.05,,,,
1770498451115327490,76051,0,GPS1_Frame,42.2532785,-71.82227966666666,172.9,267185.5108497974,4681755.306805726,19,T,1.05,,,,
1770498452116477699,76052,0,GPS1_Frame,42.25326883333334,-71.82229149999999,172.8,267184.4990384737,4681754.265713309,19,T,1.05,,,,
1770498453116179824,76053,0,GPS1_Frame,42.25325933333333,-71.82230433333334,172.9,267183.40534222074,4681753.245863553,19,T,1.05,,,,
1770498454116821449,76054,0,GPS1_Frame,42.253251166666665,-71.82231683333333,173.2,267182.344053164,4681752.373164868,19,T,1.05,,,,
1770498455115003450,76055,0,GPS1_Frame,42.253239666666666,-71.82232733333333,173.9,267181.4354898338,4681751.124840636,19,T,1.05,,,,
1770498456119281492,76056,0,GPS1_Frame,42.25322883333333,-71.82233616666667,174.6,267180.66687725135,4681749.94598984,19,T,1.05,,,,
1770498457112746993,76057,0,GPS1_Frame,42.25321933333333,-71.8223415,174.9,267180.19191628636,4681748.905629964,19,T,1.05,,,,
1770498458118662785,76058,0,GPS1_Frame,42.25320983333333,-71.82235233333334,174.8,267179.26321503374,4681747.880311301,19,T,1.05,,,,
1770498459119070494,76059,0,GPS1_Frame,42.25319866666667,-71.82236783333333,174.2,267177.9433865569,4681746.682676933,19,T,1.05,,,,
1770498460114703952,76060,0,GPS1_Frame,42.253190333333336,-71.82238550000001,173.9,267176.4552414442,4681745.805600966,19,T,1.05,,,,
1770498461117104869,76061,0,GPS1_Frame,42.253182,-71.82240499999999,173.4,267174.8158491638,4681744.933539128,19,T,1.14,,,,
1770498462118693037,76062,0,GPS1_Frame,42.25317749999999,-71.82242166666667,172.7,267173.4243128749,4681744.479408611,19,T,1.14,,,,
1770498463115721912,76063,0,GPS1_Frame,42.253171,-71.82243683333333,172.3,267172.14916129585,4681743.799082366,19,T,1.14,,,,
1770498464119515621,76064,0,GPS1_Frame,42.25317066666666,-71.82243666666666,171.8,267172.1616839256,4681743.761610936,19,T,1.14,,,,
1770498465117789996,76065,0,GPS1_Frame,42.2531795,-71.82243083333333,171.4,267172.67544135207,4681744.72657166,19,T,1.76,,,,
1770498466120665705,76066,0,GPS1_Frame,42.25319249999999,-71.8224295,171.3,267172.83329504216,4681746.166534451,19,T,1.76,,,,
1770498467116599414,76067,0,GPS1_Frame,42.25320416666667,-71.82241649999999,171.8,267173.94871960615,4681747.426528392,19,T,1.05,,,,
1770498468116737331,76068,0,GPS1_Frame,42.25321516666666,-71.82240566666665,171.7,267174.8829435416,4681748.618416684,19,T,1.05,,,,
1770498469114890790,76069,0,GPS1_Frame,42.2532245,-71.82239266666667,171.8,267175.98977793497,4681749.6193015715,19,T,1.05,,,,
1770498470118124415,76070,0,GPS1_Frame,42.253235833333335,-71.82238149999999,171.8,267176.9527277038,4681750.847294137,19,T,1.05,,,,
1770498471116011874,76071,0,GPS1_Frame,42.253247333333334,-71.822373,171.8,267177.6962955749,4681752.101087388,19,T,1.05,,,,
1770498472119772208,76072,0,GPS1_Frame,42.25325866666667,-71.82236216666666,171.3,267178.63174535445,4681753.329991757,19,T,1.05,,,,
1770498473114752292,76073,0,GPS1_Frame,42.2532685,-71.82234733333333,171.5,267179.89166565007,4681754.381386897,19,T,1.05,,,,
1770498474119312876,76074,0,GPS1_Frame,42.25327983333333,-71.8223335,171.9,267181.0746091212,4681755.602087292,19,T,1.05,,,,
1770498475117175959,76075,0,GPS1_Frame,42.25329033333334,-71.82232366666668,171.6,267181.9244921876,4681756.741187758,19,T,1.05,,,,
1770498476119749835,76076,0,GPS1_Frame,42.25330099999999,-71.822313,171.9,267182.8437369184,4681757.896517185,19,T,1.05,,,,
1770498477116564044,76077,0,GPS1_Frame,42.253311000000004,-71.82230016666668,172.1,267183.9392731412,4681758.971890268,19,T,1.05,,,,
1770498478121377669,76078,0,GPS1_Frame,42.25332100000001,-71.822288,171.9,267184.9798103258,4681760.049086643,19,T,1.05,,,,
1770498479118019086,76079,0,GPS1_Frame,42.25333166666666,-71.82227383333334,172.0,267186.1877973289,4681761.194845022,19,T,1.05,,,,
1770498480113045670,76080,0,GPS1_Frame,42.25334216666667,-71.82225700000001,172.0,267187.61516520544,4681762.314803326,19,T,1.05,,,,
1770498481120205004,76081,0,GPS1_Frame,42.253353333333344,-71.82224083333334,172.0,267188.9899879435,4681763.5106162485,19,T,1.05,,,,
1770498482114203879,76082,0,GPS1_Frame,42.25336283333333,-71.82222716666666,172.3,267190.1524302298,4681764.528187919,19,T,1.05,,,,
1770498483113660255,76083,0,GPS1_Frame,42.25337116666666,-71.82221333333334,172.4,267191.3243273909,4681765.415749324,19,T,1.05,,,,
