bag_time_ns,header_stamp_sec,header_stamp_nanosec,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,fix_quality,num_satellites,speed,track
1770485830264305311,63430,0,GPS1_Frame,42.253565333333334,-71.8218535,175.0,267221.7244872871,4681785.993400464,19,T,1.07,,,,
1770485831268481645,63431,0,GPS1_Frame,42.253564999999995,-71.82185283333334,174.6,267221.7782589457,4681785.954561987,19,T,1.07,,,,
1770485832268233562,63432,0,GPS1_Frame,42.25356566666666,-71.82185433333333,174.8,267221.6569660014,4681786.032694653,19,T,1.07,,,,
1770485833267681896,63433,0,GPS1_Frame,42.253568333333334,-71.82185316666667,175.0,267221.76302805357,4681786.325629632,19,T,1.02,,,,
1770485834267952022,63434,0,GPS1_Frame,42.25356866666666,-71.82185133333334,174.5,267221.91550074157,4681786.357632403,19,T,1.02,,,,
1770485835264979730,63435,0,GPS1_Frame,42.253567499999996,-71.821849,174.2,267222.10370154644,4681786.221697743,19,T,1.07,,,,
1770485836266953981,63436,0,GPS1_Frame,42.25356766666667,-71.82184433333333,174.0,267222.48930441495,4681786.2274456,19,T,1.02,,,,
1770485837267644231,63437,0,GPS1_Frame,42.25356733333333,-71.82184350000001,173.8,267222.55682570057,4681786.188151416,19,T,1.11,,,,
1770485838264031357,63438,0,GPS1_Frame,42.253567833333335,-71.82184266666667,173.9,267222.62741406227,4681786.241396289,19,T,1.02,,,,
1770485839265596149,63439,0,GPS1_Frame,42.253567999999994,-71.821842,173.9,267222.6830259714,4681786.258081252,19,T,1.11,,,,
1770485840266528108,63440,0,GPS1_Frame,42.253567499999996,-71.82184099999999,173.9,267222.7636834654,4681786.199823548,19,T,1.02,,,,
1770485841267759275,63441,0,GPS1_Frame,42.253564999999995,-71.821845,174.0,267222.42449126544,4681785.933143474,19,T,1.02,,,,
1770485842268749150,63442,0,GPS1_Frame,42.25356416666667,-71.8218445,174.0,267222.46267305897,4681785.839237285,19,T,1.02,,,,
1770485843264571026,63443,0,GPS1_Frame,42.253563500000006,-71.82184316666667,173.7,267222.5702163888,4681785.761560343,19,T,1.02,,,,
1770485844270061193,63444,0,GPS1_Frame,42.253565333333334,-71.82184366666667,173.8,267222.5357150894,4681785.966513398,19,T,1.02,,,,
1770485845265519985,63445,0,GPS1_Frame,42.253567499999996,-71.82184616666667,174.3,267222.3374451439,4681786.213950625,19,T,1.02,,,,
1770485846264681402,63446,0,GPS1_Frame,42.25356766666667,-71.82184633333333,174.5,267222.3243089372,4681786.232914148,19,T,1.02,,,,
1770485847269642903,63447,0,GPS1_Frame,42.253572500000004,-71.82184699999999,174.4,267222.2870995202,4681786.771463514,19,T,1.02,,,,
1770485848269299737,63448,0,GPS1_Frame,42.253573833333334,-71.82184683333334,174.6,267222.30575647374,4681786.919070289,19,T,1.02,,,,
1770485849265209320,63449,0,GPS1_Frame,42.25357483333334,-71.82184600000001,174.5,267222.37818508164,4681787.027838591,19,T,1.1,,,,
1770485850264729821,63450,0,GPS1_Frame,42.253575500000004,-71.82184466666666,174.5,267222.49063571915,4681787.098224134,19,T,1.02,,,,
1770485851266234446,63451,0,GPS1_Frame,42.253575500000004,-71.82184666666667,175.0,267222.32564025966,4681787.103692684,19,T,1.07,,,,
1770485852271759405,63452,0,GPS1_Frame,42.253574166666674,-71.82184716666667,175.3,267222.2794840615,4681786.956997337,19,T,1.07,,,,
1770485853267002864,63453,0,GPS1_Frame,42.253572500000004,-71.82184833333334,175.4,267222.1771025427,4681786.775109217,19,T,1.07,,,,
1770485854269916114,63454,0,GPS1_Frame,42.253572500000004,-71.8218465,175.5,267222.328348386,4681786.770096377,19,T,1.07,,,,
1770485855268765948,63455,0,GPS1_Frame,42.25357233333334,-71.8218475,175.3,267222.2452372358,4681786.754322842,19,T,1.07,,,,
1770485856270511324,63456,0,GPS1_Frame,42.25356866666666,-71.82184583333333,175.0,267222.36923830304,4681786.342593875,19,T,1.07,,,,
1770485857266420949,63457,0,GPS1_Frame,42.25356383333333,-71.82184466666666,175.0,267222.4476966036,4681785.802677374,19,T,1.02,,,,
1770485858269684616,63458,0,GPS1_Frame,42.253560666666665,-71.82184416666668,175.1,267222.47729057586,4681785.449661831,19,T,1.27,,,,
1770485859269423367,63459,0,GPS1_Frame,42.253557666666666,-71.82184433333333,174.9,267222.4524994681,4681785.11697695,19,T,1.27,,,,
1770485860265695659,63460,0,GPS1_Frame,42.25355683333334,-71.82184383333333,174.7,267222.49068126763,4681785.02307076,19,T,1.02,,,,
1770485861269647159,63461,0,GPS1_Frame,42.253557,-71.82184416666668,174.6,267222.46379543055,4681785.042489995,19,T,1.02,,,,
1770485862263306660,63462,0,GPS1_Frame,42.253558000000005,-71.82184350000001,174.6,267222.52247442707,4681785.151714011,19,T,1.02,,,,
